date,state,district,pincode,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,total_enroll,total_demo_update,total_bio_update,total_updates,service_load,update_pressure,child_ratio,bio_ratio,enroll_norm,update_pressure_norm,child_ratio_norm,risk_score,risk_score_0_100,risk_label,predicted_risk
2025-11-12,Maharashtra,Yavatmal,445204,1,0,0,2,1149,80,201,1,1151,281,1432,1433,716.0,0.5,0.19609211444521982,0.0,1.0,0.5031446540880503,0.89937106918239,89.94,HIGH_RISK,HIGH_RISK
2025-11-12,Maharashtra,Nanded,431712,1,0,0,12,1192,77,78,1,1204,155,1359,1360,679.5,0.5,0.11397058823529412,0.0,0.9490223463687151,0.5031446540880503,0.8815288904114402,88.15,HIGH_RISK,HIGH_RISK
2025-11-08,Manipur,Bishnupur,795126,0,1,0,113,640,95,60,1,753,155,908,909,454.0,0.0,0.1705170517051705,0.0,0.6340782122905028,0.0,0.871927374301676,87.19,HIGH_RISK,HIGH_RISK
2025-10-31,Manipur,Thoubal,795103,0,2,0,47,902,192,80,2,949,272,1221,1223,407.0,0.0,0.2225859247135843,0.0002522704339051463,0.5684357541899442,0.0,0.8488389922712232,84.88,HIGH_RISK,HIGH_RISK
2025-10-31,Manipur,Thoubal,795103,0,2,0,47,902,192,80,2,949,272,1221,1223,407.0,0.0,0.2225859247135843,0.0002522704339051463,0.5684357541899442,0.0,0.8488389922712232,84.88,HIGH_RISK,HIGH_RISK
2025-11-08,Manipur,Thoubal,795103,0,2,0,65,897,166,70,2,962,236,1198,1200,399.3333333333333,0.0,0.19683069224353628,0.0002522704339051463,0.5577281191806331,0.0,0.8450913200179642,84.51,HIGH_RISK,HIGH_RISK
2025-11-12,Manipur,Imphal West,795113,0,1,0,93,459,145,58,1,552,203,755,756,377.5,0.0,0.26851851851851855,0.0,0.5272346368715084,0.0,0.834532122905028,83.45,HIGH_RISK,HIGH_RISK
2025-11-01,Maharashtra,Beed,431122,0,1,0,16,409,98,218,1,425,316,741,742,370.5,0.0,0.42587601078167114,0.0,0.5174581005586593,0.0,0.8311103351955307,83.11,HIGH_RISK,HIGH_RISK
2025-11-11,Maharashtra,Nanded,431712,0,1,0,2,486,66,124,1,488,190,678,679,339.0,0.0,0.27982326951399117,0.0,0.47346368715083803,0.0,0.8157122905027934,81.57,HIGH_RISK,HIGH_RISK
2025-11-11,Maharashtra,Nanded,431712,0,1,0,2,486,66,124,1,488,190,678,679,339.0,0.0,0.27982326951399117,0.0,0.47346368715083803,0.0,0.8157122905027934,81.57,HIGH_RISK,HIGH_RISK
2025-10-29,Maharashtra,Amravati,444702,0,1,0,2,415,20,184,1,417,204,621,622,310.5,0.0,0.3279742765273312,0.0,0.433659217877095,0.0,0.8017807262569832,80.18,HIGH_RISK,HIGH_RISK
2025-11-03,Manipur,Thoubal,795103,0,1,0,20,490,72,32,1,510,104,614,615,307.0,0.0,0.16910569105691056,0.0,0.4287709497206704,0.0,0.8000698324022346,80.01,HIGH_RISK,HIGH_RISK
2025-11-03,Manipur,Thoubal,795103,0,1,0,20,490,72,32,1,510,104,614,615,307.0,0.0,0.16910569105691056,0.0,0.4287709497206704,0.0,0.8000698324022346,80.01,HIGH_RISK,HIGH_RISK
2025-11-04,West Bengal,Uttar Dinajpur,733202,0,1,0,21,448,25,88,1,469,113,582,583,291.0,0.0,0.19382504288164665,0.0,0.4064245810055866,0.0,0.7922486033519553,79.22,HIGH_RISK,HIGH_RISK
2025-10-26,Manipur,Imphal East,795010,0,1,0,59,356,118,32,1,415,150,565,566,282.5,0.0,0.26501766784452296,0.0,0.39455307262569833,0.0,0.7880935754189944,78.81,HIGH_RISK,HIGH_RISK
2025-10-26,Manipur,Imphal East,795010,0,1,0,59,356,118,32,1,415,150,565,566,282.5,0.0,0.26501766784452296,0.0,0.39455307262569833,0.0,0.7880935754189944,78.81,HIGH_RISK,HIGH_RISK
2025-11-12,Maharashtra,Buldana,443404,0,1,0,0,467,41,54,1,467,95,562,563,281.0,0.0,0.16873889875666073,0.0,0.3924581005586592,0.0,0.7873603351955307,78.74,HIGH_RISK,HIGH_RISK
2025-11-06,Manipur,Thoubal,795103,0,1,0,27,526,0,0,1,553,0,553,554,276.5,0.0,0.0,0.0,0.3861731843575419,0.0,0.7851606145251397,78.52,HIGH_RISK,HIGH_RISK
2025-11-06,Manipur,Thoubal,795103,0,1,0,27,526,0,0,1,553,0,553,554,276.5,0.0,0.0,0.0,0.3861731843575419,0.0,0.7851606145251397,78.52,HIGH_RISK,HIGH_RISK
2025-11-01,West Bengal,Paschim Medinipur,721127,0,1,0,14,468,20,35,1,482,55,537,538,268.5,0.0,0.10223048327137546,0.0,0.375,0.0,0.78125,78.12,HIGH_RISK,HIGH_RISK
